timestamp,current_position,target_position,error,effort
1775638124517637527,0.1795,0.1800,0.0005,-97.5261
1775638124519334512,0.1795,0.1800,0.0005,-97.5261
1775638124521432300,0.1795,0.1800,0.0005,-97.5261
1775638124523123786,0.1795,0.1800,0.0005,-97.5261
1775638124525048936,0.1795,0.1800,0.0005,-97.5261
1775638124526735987,0.1795,0.1800,0.0005,-97.5261
1775638124528207203,0.1795,0.1800,0.0005,-97.5261
1775638124529984472,0.1795,0.1800,0.0005,-97.5261
1775638124531980943,0.1795,0.1800,0.0005,-97.5261
1775638124533840928,0.1795,0.1800,0.0005,-97.5261
1775638124535392407,0.1795,0.1800,0.0005,-97.5261
1775638124537120259,0.1795,0.1800,0.0005,-97.5261
1775638124538607065,0.1795,0.1800,0.0005,-97.5261
1775638124539965780,0.1795,0.1800,0.0005,-97.5261
1775638124541537100,0.1795,0.1800,0.0005,-97.5261
1775638124543149047,0.1795,0.1800,0.0005,-97.5261
1775638124544829985,0.1795,0.1800,0.0005,-97.5261
1775638124546606107,0.1795,0.1800,0.0005,-97.5261
1775638124548351631,0.1795,0.1800,0.0005,-97.5261
1775638124549905265,0.1795,0.1800,0.0005,-97.5261
1775638124551635010,0.1795,0.1800,0.0005,-97.5261
1775638124552955406,0.1795,0.1800,0.0005,-97.5261
1775638124554387004,0.1795,0.1800,0.0005,-97.5261
1775638124555868470,0.1795,0.1800,0.0005,-97.5261
1775638124557253158,0.1795,0.1800,0.0005,-97.5261
1775638124558907610,0.1795,0.1800,0.0005,-97.5261
1775638124560587179,0.1795,0.1800,0.0005,-97.5261
1775638124562332419,0.1795,0.1800,0.0005,-97.5261
1775638124564085677,0.1795,0.1800,0.0005,-97.5261
1775638124566523378,0.1795,0.1800,0.0005,-97.5261
1775638124568235273,0.1795,0.1800,0.0005,-97.5261
1775638124569855783,0.1795,0.1800,0.0005,-97.5261
1775638124571249869,0.1795,0.1800,0.0005,-97.5261
1775638124572714960,0.1795,0.1800,0.0005,-97.5261
1775638124574169500,0.1795,0.1800,0.0005,-97.5261
1775638124575732175,0.1795,0.1800,0.0005,-97.5261
1775638124577436622,0.1795,0.1800,0.0005,-97.5261
1775638124579255541,0.1795,0.1800,0.0005,-97.5261
1775638124580900734,0.1795,0.1800,0.0005,-97.5261
1775638124582384531,0.1795,0.1800,0.0005,-97.5261
1775638124584290598,0.1795,0.1800,0.0005,-97.5261
1775638124585999277,0.1795,0.1800,0.0005,-97.5261
1775638124587589132,0.1795,0.1800,0.0005,-97.5261
1775638124589072816,0.1795,0.1800,0.0005,-97.5261
1775638124590654220,0.1795,0.1800,0.0005,-97.5261
1775638124593057094,0.1795,0.1800,0.0005,-97.5261
1775638124594861351,0.1795,0.1800,0.0005,-97.5261
1775638124596438834,0.1795,0.1800,0.0005,-97.5261
1775638124598064757,0.1795,0.1800,0.0005,-97.5261
1775638124599588389,0.1795,0.1800,0.0005,-97.5261
1775638124601152245,0.1795,0.1800,0.0005,-97.5261
1775638124602575683,0.1795,0.1800,0.0005,-97.5261
1775638124604113025,0.1795,0.1800,0.0005,-97.5261
1775638124605843954,0.1795,0.1800,0.0005,-97.5261
1775638124607704532,0.1795,0.1800,0.0005,-97.5261
1775638124609102555,0.1795,0.1800,0.0005,-97.5261
1775638124610516660,0.1795,0.1800,0.0005,-97.5261
1775638124612016746,0.1795,0.1800,0.0005,-97.5261
1775638124613479968,0.1795,0.1800,0.0005,-97.5261
1775638124614925469,0.1795,0.1800,0.0005,-97.5261
1775638124616396248,0.1795,0.1800,0.0005,-97.5261
1775638124617905963,0.1795,0.1800,0.0005,-97.5261
1775638124619755037,0.1795,0.1800,0.0005,-97.5261
1775638124621377581,0.1795,0.1800,0.0005,-97.5261
1775638124623025525,0.1795,0.1800,0.0005,-97.5261
1775638124624865917,0.1795,0.1800,0.0005,-97.5261
1775638124626346851,0.1795,0.1800,0.0005,-97.5261
1775638124627963676,0.1795,0.1800,0.0005,-97.5261
